post_id,title,category,score,num_comments,author,collected_at
47704060,Not just spyware scandals: EU is funding the industry that spies on Europeans,worldnews,8,0,latexr,2026-04-10 13:36:14
47690049,Amazon rewards loyal Kindle devotees by closing the book on old e-readers,worldnews,38,23,beardyw,2026-04-10 13:36:17
47692291,"Digital Hopes, Real Power: How the Arab Spring Fueled a Global Surveillance Boom",worldnews,12,0,hn_acker,2026-04-10 13:37:27
47709273,Wild chimpanzees recorded waging 'civil war' with coordinated attacks,worldnews,5,0,geox,2026-04-10 13:37:30
47697980,"Account Verification for Windows Hardware Program Begins October 16, 2025",worldnews,5,0,TiredOfLife,2026-04-10 13:38:09
47663743,"Show HN: Moon simulator game, ray-casting",sports,105,24,JKCalhoun,2026-04-10 13:30:53
47689165,"Show HN: I pipe free sports streams into Jellyfin – no ads, just HLS",sports,113,35,pruz,2026-04-10 13:32:04
47672778,Breaking the console: a brief history of video game security,sports,96,26,sprado,2026-04-10 13:33:15
47710319,BYD teams up with KFC to offer 9 minute EV charging,sports,9,0,breve,2026-04-10 13:33:17
47709535,Lethal conflict after group fission in wild chimpanzees,sports,8,1,impish9208,2026-04-10 13:33:32
47664186,"Battle for Wesnoth: open-source, turn-based strategy game",sports,539,163,akyuu,2026-04-10 13:33:46
47654629,The Harvard Library Passport,sports,40,15,fi-le,2026-04-10 13:33:47
47656501,The 1987 game “The Last Ninja” was 40 kilobytes,sports,307,192,keepamovin,2026-04-10 13:34:01
47685704,How the Vision Pro Rollout Inflamed Tensions at Apple,sports,16,4,f_allwein,2026-04-10 13:37:21
47681453,"Sports bets on prediction markets ruled to be ""swaps,"" exempt from state laws",sports,19,6,nradov,2026-04-10 13:37:51
47667008,Show HN: I built a site that turns your Steam gaming hours into a RL skill tree,sports,8,10,naorz,2026-04-10 13:38:06
47708818,Native Instant Space Switching on macOS,science,463,213,PaulHoule,2026-04-10 13:29:56
47651764,How Close Is Too Close? Applying Fluid Dynamics Research Methods to PC Cooling,science,26,5,LabsLucas,2026-04-10 13:30:44
47650502,Computational Physics (2nd Edition) (2025),science,184,23,teleforce,2026-04-10 13:34:17
47665207,SOM: A minimal Smalltalk for teaching of and research on Virtual Machines,science,56,0,tosh,2026-04-10 13:34:55
47656303,Case study: recovery of a corrupted 12 TB multi-device pool,science,116,64,salt4034,2026-04-10 13:35:09
47691409,Reproducibility and robustness of economics and political science research,science,5,0,lamename,2026-04-10 13:37:57
47709360,CDC study shows Covid shot benefits; Trump official blocks release,science,17,2,ColinWright,2026-04-10 13:38:00
47705413,Show HN: I built a Cargo-like build tool for C/C++,entertainment,145,134,randerson_112,2026-04-10 13:30:22
47710835,"Show HN: Rust based eBook library for Python, with MIT license",entertainment,22,2,larry-the-agent,2026-04-10 13:30:27
47702647,"Launch HN: Relvy (YC F24) – On-call runbooks, automated",entertainment,45,23,behat,2026-04-10 13:30:30
47704259,"Show HN: Guruka.com – free guided mediations. No signup, private, works offline",entertainment,24,5,eummm,2026-04-10 13:31:06
47676561,Teardown of unreleased LG Rollable shows why rollable phones aren't a thing,entertainment,119,56,DamnInteresting,2026-04-10 13:31:17
